epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.8281,1.53615,3.71264,1.21123,0.00583,0.95455,0.15392,0.1075,1.09072,3.42278,0.95814,0.00021671,0.00021671,0.00021671
2,6.63397,1.42076,2.31637,1.14,0.00607,0.86364,0.31878,0.20444,1.18656,3.25763,0.95304,0.000435237,0.000435237,0.000435237
3,9.42233,1.39115,1.93979,1.14988,0.00603,0.97727,0.27599,0.1512,1.17836,3.31725,0.9939,0.000638361,0.000638361,0.000638361
4,12.1852,1.38404,1.71933,1.18282,0.00584,0.95455,0.4652,0.32943,1.11145,3.1247,1.00665,0.000826082,0.000826082,0.000826082
5,15.1013,1.35531,1.57377,1.16877,0.88197,0.07452,0.47808,0.28297,1.24146,3.13913,1.07905,0.0009984,0.0009984,0.0009984
6,17.948,1.3874,1.56479,1.19654,0.92928,0.45842,0.8213,0.50448,1.22434,2.26737,1.1212,0.00115531,0.00115531,0.00115531
7,20.6876,1.38425,1.43241,1.17586,0.8071,0.66241,0.81552,0.49975,1.31463,1.89624,1.14895,0.00129683,0.00129683,0.00129683
8,23.407,1.30221,1.34873,1.11181,0.86911,0.83901,0.87891,0.55821,1.25738,1.55295,1.10513,0.00128192,0.00128192,0.00128192
9,26.1364,1.26275,1.25998,1.13915,0.96488,0.83523,0.90349,0.56979,1.26881,1.3472,1.12997,0.00122691,0.00122691,0.00122691
10,28.8682,1.30144,1.24239,1.12972,0.85053,0.86364,0.9186,0.51063,1.40758,1.3512,1.18388,0.0011719,0.0011719,0.0011719
11,31.5911,1.27238,1.22776,1.17079,0.91149,0.81442,0.9127,0.57387,1.256,1.20729,1.11997,0.00111689,0.00111689,0.00111689
12,34.3194,1.28889,1.15416,1.15226,0.91076,0.94609,0.9311,0.55618,1.29613,1.12964,1.12763,0.00106188,0.00106188,0.00106188
13,37.0212,1.2308,1.12954,1.09962,0.94711,0.97544,0.9659,0.59929,1.25835,1.04217,1.10313,0.00100687,0.00100687,0.00100687
14,39.7552,1.2304,1.08011,1.14552,0.86402,0.9312,0.94021,0.55241,1.41309,1.10753,1.18506,0.000951857,0.000951857,0.000951857
15,42.4676,1.20143,1.02659,1.10664,0.87701,0.94836,0.94815,0.59116,1.28479,0.98102,1.09684,0.000896846,0.000896846,0.000896846
16,45.1839,1.21996,1.02355,1.1145,0.93802,0.97667,0.95201,0.57283,1.33979,0.97148,1.12022,0.000841835,0.000841835,0.000841835
17,47.8876,1.20177,0.99355,1.09153,0.91877,0.94301,0.9573,0.56835,1.33229,0.98769,1.12978,0.000786824,0.000786824,0.000786824
18,50.5953,1.21922,0.9876,1.12861,0.90872,0.97575,0.9605,0.61336,1.25569,0.89559,1.10589,0.000731813,0.000731813,0.000731813
19,53.3047,1.18943,0.98076,1.0996,0.94914,0.95279,0.96669,0.61601,1.28511,0.86636,1.10772,0.000676802,0.000676802,0.000676802
20,56.024,1.1254,0.90113,1.061,0.94442,0.97727,0.96435,0.64081,1.21123,0.81319,1.08613,0.000621791,0.000621791,0.000621791
21,59.9465,1.10993,0.93706,1.06438,0.95424,0.95204,0.96281,0.59591,1.37051,0.8402,1.12449,0.00056678,0.00056678,0.00056678
22,62.6824,1.05432,0.90589,1.05847,0.94824,0.97246,0.96694,0.6321,1.21829,0.79032,1.06082,0.000511769,0.000511769,0.000511769
23,65.373,1.03462,0.84966,1.03381,0.94586,0.97727,0.96403,0.60682,1.27526,0.78634,1.09649,0.000456758,0.000456758,0.000456758
24,68.0846,1.02833,0.86364,1.03236,0.92119,0.97727,0.96187,0.61612,1.27837,0.76596,1.09629,0.000401747,0.000401747,0.000401747
25,70.7804,0.97749,0.82283,1.01467,0.94787,0.97727,0.96105,0.62659,1.22306,0.75024,1.07181,0.000346736,0.000346736,0.000346736
26,73.4805,0.97053,0.81062,1.03027,0.94048,0.95455,0.95663,0.6087,1.30231,0.74388,1.10817,0.000291725,0.000291725,0.000291725
27,76.1982,0.95204,0.77738,1.01498,0.9538,0.97727,0.95952,0.60177,1.31536,0.71553,1.1075,0.000236714,0.000236714,0.000236714
28,78.8906,0.95839,0.77025,1.01318,0.94922,0.97727,0.95959,0.60318,1.31178,0.71408,1.10815,0.000181703,0.000181703,0.000181703
29,81.5706,0.93171,0.75885,1.00496,0.94957,0.97727,0.96174,0.61868,1.32159,0.7207,1.11522,0.000126692,0.000126692,0.000126692
30,84.308,0.9048,0.74675,0.98885,0.95293,0.97727,0.96093,0.62127,1.30555,0.7029,1.10575,7.1681e-05,7.1681e-05,7.1681e-05
